,Unnamed: 0,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,0,DA,0.3809644351383042,0.8878271707519735,21.28981876373291,0.0716685655171569,-0.0071384603811986,0.0037990877924944,0.0080717925620348,6,0
1,1,Dragonnet,0.37757758155055,0.861496136865098,166.11966180801392,0.0932386592030525,-0.0216467529535293,0.0039849439635872,0.0147432619705796,6,0
2,2,CEVAE,0.3071088493946906,0.8633688298655171,229.9931983947754,0.1646103858947754,0.0665713995695114,-0.070965901017189,0.0620774663984775,6,0
3,3,M3E2,0.187907787050129,0.7847291625024985,73.16450572013855,1.2145464420318604,0.493877500295639,-0.1716009676456451,0.396459549665451,6,0
4,4,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,0
5,5,DA,0.3911089478875241,0.8921609290750725,7.852785348892212,0.0483982296501273,-0.0072814159922257,0.0193062603278318,0.0064142055785497,6,1
6,6,Dragonnet,0.3868738039076294,0.8537480945934357,161.69993925094604,0.0776755064725875,-0.0273417998105287,0.0166218560189008,0.0114534841850399,6,1
7,7,CEVAE,0.3270909533515538,0.8561813467240776,230.7955207824707,0.1857437789440155,0.0587905943393707,-0.0138093875721097,0.0259529761970043,6,1
8,8,M3E2,0.1606513541294347,0.7982731554160125,73.1112003326416,1.244173526763916,0.4059881269931793,-0.1335251182317733,0.3076202571392059,6,1
9,9,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,1
10,10,DA,0.381605346317603,0.8917326833231769,7.201572895050049,0.0688644295573093,-0.0014141523886807,0.0011309649761819,-8.01470041429029e-05,6,2
11,11,Dragonnet,0.3779472102090682,0.8453533237869766,197.7363812923432,0.100650854408741,-0.0215372443199157,0.0087786754593253,0.0105367749929428,6,2
12,12,CEVAE,0.2773989556502517,0.8457207046732651,230.56823658943176,0.2323377728462219,0.1314556300640106,-0.0897886529564857,0.0294826719909906,6,2
13,13,M3E2,0.1437506430261179,0.8098250837365092,73.74072861671448,0.8067150115966797,0.2569380402565002,-0.0778924375772476,0.3292774856090545,6,2
14,14,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,2
15,15,DA,0.3877537610247638,0.8799335272122976,7.305245876312256,0.0635276113326863,-0.0022857252994532,0.0222909137809648,0.0026945341073923,6,3
16,16,Dragonnet,0.3873191962178413,0.8384079462027724,247.9933843612671,0.1058895140886306,-0.0295273810625076,0.033433511853218,0.0004551444144453,6,3
17,17,CEVAE,0.3133430244546349,0.8455503976538963,230.87853837013245,0.2457814365625381,0.026738142594695,-0.0747903436422348,-0.0080214701592922,6,3
18,18,M3E2,0.3803208009502209,0.8032258064516128,73.55398058891296,-0.3280554115772247,0.2604393661022186,-0.2318526655435562,0.2385504394769668,6,3
19,19,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,3
20,20,DA,0.3886547543476133,0.8856907894736842,7.795327186584473,0.0700712455954432,-0.0179632724877357,0.0142902711128892,0.0002238310734443,6,4
21,21,Dragonnet,0.3876594399247284,0.8600589260712168,180.49012637138367,0.0877595916390419,-0.0399985946714878,0.0138137955218553,0.0080755893141031,6,4
22,22,CEVAE,0.299143092814457,0.8628730434149455,231.1731832027436,0.2205274403095245,0.0362109020352363,-0.0952714756131172,0.0440783612430095,6,4
23,23,M3E2,0.3904782016069517,0.8055555555555556,73.58587121963501,-0.3365341424942016,0.2557358145713806,-0.2507296800613403,0.2542380094528198,6,4
24,24,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,4
25,25,DA,0.3863457253063818,0.8894358974358973,7.601835012435913,0.0578405567345715,0.0055942534411901,0.0171755789620484,0.0010184180194751,6,5
26,26,Dragonnet,0.3870351092103835,0.8469413320663189,173.71923327445984,0.1002591475844383,-0.0206362791359424,0.024941112846136,-0.0101616419851779,6,5
27,27,CEVAE,0.2897175747115131,0.8508968188923252,231.07355308532715,0.2297344803810119,0.0899197310209274,-0.0649475008249282,0.0491885393857955,6,5
28,28,M3E2,0.3900321335694112,0.8053397091053993,73.9529435634613,-0.3188647329807281,0.2943036556243896,-0.2210215628147125,0.263553261756897,6,5
29,29,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,5
30,30,DA,0.3796917753112242,0.8813489615463705,7.659807920455933,0.0692337504042203,0.0035677785267791,0.0094231431767104,0.0105150634595297,6,6
31,31,Dragonnet,0.3747244962636347,0.8575139783858796,240.8039231300354,0.0853735730051994,-0.001333637163043,0.0066392309963703,0.0163618605583906,6,6
32,32,CEVAE,0.3194735959317501,0.8551337599040301,233.45601868629456,0.181146502494812,0.071390613913536,-0.0779105052351951,-0.015681454911828,6,6
33,33,M3E2,0.1561455532387241,0.8078101071975496,73.68458127975464,1.020180344581604,0.5612645745277405,-0.0267109517008066,0.2368144392967224,6,6
34,34,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779817,6,6
35,35,DA,0.3860973010549589,0.88911495422177,7.702768087387085,0.0616309766813893,-0.0011009289426645,0.0091343614415941,-0.0031243400582505,6,7
36,36,Dragonnet,0.3761573788273114,0.8618569978280287,168.82426071166992,0.0912360921502113,-0.0164207126945257,0.0006300655659288,0.0138457212597131,6,7
