,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,DA,0.38372588852571105,0.8074580025844563,97.30502462387085,0.06918904629360041,-0.013774359437451427,-0.0039619888638023305,-0.0016196793640796446,0,0
1,Dragonnet,0.43977409856449473,0.8170533619362127,98.20867466926575,-0.04218361899256706,-0.08253887295722961,0.007050859276205301,-0.03466249257326126,0,0
2,CEVAE,0.13142384625857395,0.8020148685002465,244.1689944267273,,0.0676342248916626,-0.057691577821969986,0.04554027318954468,0,0
3,M3E2,0.1842786744339477,0.6848484848484848,96.55804252624512,1.0342150926589966,0.7431842684745789,-0.0967378243803978,0.23810453712940216,0,0
4,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,0
5,DA,0.3802884558973943,0.8247879011434894,90.46276140213013,0.07228365285355168,-0.016175145577197503,-0.006371427621446947,0.009026791971337579,0,1
6,Dragonnet,0.4237603751156445,0.8277035334427053,100.42084956169128,0.013557368889451027,-0.07128217816352844,0.023122470825910568,-0.021533669903874397,0,1
7,CEVAE,0.08816311758934361,0.8085055181111804,237.42908000946045,,,-0.07806694507598877,0.05386370047926903,0,1
8,M3E2,0.25444620255756817,0.6915151515151515,96.10958170890808,0.8159726858139038,0.7111588716506958,-0.17599079012870789,0.4251949191093445,0,1
9,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,1
10,DA,0.38415613863847514,0.8144197167555638,92.14503741264343,0.060441683989865436,-0.006956063602738673,-0.0024954800530340247,5.489546465442828e-05,0,2
11,Dragonnet,0.440435007787865,0.8167287604114136,102.95069789886475,0.021379398182034492,-0.09502492845058441,0.01606842875480652,-0.07936552166938782,0,2
12,CEVAE,0.499486251510338,0.8175651683944523,229.78888535499573,0.15685580670833588,,-0.07719921320676804,,0,2
13,M3E2,0.24273477309477437,0.7051515151515152,96.18591022491455,1.092041254043579,0.490167498588562,-0.04648993909358978,0.6168716549873352,0,2
14,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,2
15,DA,0.38767732085095546,0.8140389562660786,92.29820823669434,0.05861990975139092,-0.028161323470903502,-0.0025087992280540265,0.008983881546352636,0,3
16,Dragonnet,0.4278737223852392,0.823003005808431,99.56325459480286,0.029472526162862778,-0.08401309698820114,0.027988791465759277,-0.03630497679114342,0,3
17,CEVAE,0.3884878425033684,0.8073581411091877,292.89587783813477,0.16825032234191895,0.05230897665023804,,0.0011331368004903197,0,3
18,M3E2,0.11669640995630431,0.7269696969696969,97.72198152542114,0.8400854468345642,0.4068109691143036,-0.3066617250442505,0.07449151575565338,0,3
19,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,3
20,DA,0.3830772670013368,0.819981498612396,91.131671667099,0.07321218403590456,-0.020325828496479518,0.0015549066833501304,0.009020033597293732,0,4
21,Dragonnet,0.42382801707423884,0.8183025223549104,99.08060550689697,0.06347651779651642,-0.08219792693853378,0.036190666258335114,-0.04773944243788719,0,4
22,CEVAE,0.36023809594594924,0.8060671516455251,241.37004971504211,0.17465324699878693,,-0.06096891313791275,0.019443368539214134,0,4
23,M3E2,0.18228073605430234,0.7045454545454546,94.99288749694824,1.1724886894226074,0.6290208101272583,-0.08880317211151123,0.19806799292564392,0,4
24,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,4
