,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.1588225028103622,0.2696115765422696,11.09568214416504,0.0884151699534586,-0.0856442837338603,0.0048552694684047,0.0920051443771881,0.1267368688530022,6,0
1,Dragonnet,0.172564307299227,0.4626166070748246,145.40458059310913,0.074783831834793,-0.0765274167060852,0.0197866186499595,0.0659512132406234,0.1008228287100792,6,0
2,CEVAE,0.174344187301368,0.495167345650473,251.10645461082456,0.0205454993993043,-0.0931451022624969,-0.0050172209739685,0.0552434436976909,0.1154480054974556,6,0
3,M3E2,0.1431004064598904,0.3460706560922855,119.206289768219,0.0211095139384269,-0.1323930472135543,-0.0629405453801155,0.0466922484338283,0.199453517794609,6,0
4,TrueTreat,0.0,0.0,0.0,0.0779459183718791,-0.182250980903126,-0.0544551970190005,0.2247729491367847,0.6216951629069662,6,0
5,DA,0.144457698022871,0.2664551942902458,10.761780977249146,0.0711284317389512,-0.0934785594786707,-0.0044283223012389,0.1160365850232737,0.1537598196812667,6,1
6,Dragonnet,0.1620135041668718,0.4994906602424961,132.0078809261322,0.0661778897047042,-0.0741821750998497,0.0022104969248175,0.0731285288929939,0.1397745907306671,6,1
7,CEVAE,0.1617720582525971,0.5008445873195151,251.9875738620758,0.0870389714837074,-0.072494551539421,0.0026939988601952,0.066208966076374,0.1473975330591201,6,1
8,M3E2,0.1117321982822376,0.3636363636363636,119.51301145553587,0.0498238466680049,-0.2389665991067886,-0.0827028676867485,0.1659209728240966,0.2349715083837509,6,1
9,TrueTreat,0.0,0.0,0.0,0.0779459183718791,-0.182250980903126,-0.0544551970190005,0.2247729491367847,0.6216951629069662,6,1
10,DA,0.1518127861162242,0.1849912739965095,10.369702100753784,0.0659900552786921,-0.0707032702987111,-0.0257716238493208,0.1180459920814208,0.1215453362484903,6,2
11,Dragonnet,0.1612912026017611,0.4776929451162793,144.08034443855286,0.0743718445301055,-0.073841281235218,-0.018683660775423,0.1028378307819366,0.0849295780062675,6,2
12,CEVAE,0.1631502468853896,0.5017915680473835,248.65570163726807,0.0455293506383895,-0.0767604485154151,-0.0090346932411193,0.1109980642795562,0.1030464172363281,6,2
13,M3E2,0.1204916358709042,0.2610114192495922,117.30670118331908,-0.0301666166633367,-0.1628612130880355,-0.0264924988150596,0.1709849536418914,0.2284899801015854,6,2
14,TrueTreat,0.0,0.0,0.0,0.0779459183718791,-0.182250980903126,-0.0544551970190005,0.2247729491367847,0.6216951629069662,6,2
15,DA,0.1684852741497692,0.1129186602870813,10.087924242019652,0.0363424803346262,-0.0416815082346978,-0.0034161691764093,0.1362904205850865,0.1009632592580902,6,3
